#DESCRIPCIÓN FUNCIONAL ,CÓDIGO FUNCIONAL,CÓDIGO ECONÓMICO,FECHA,TERCERO,f,g,DESCRIPCIÓN,IMPORTE PAGO
Administración General.                 ,9200,22200,2017-01-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONIA FIJA DICIEMBRE                                                                                                                                                      ,2083.14
Fiestas populares y festejos.           ,3380,22620,2017-09-28,IMAGINASCENE EVENTOS Y COMUNICACION S.L                                                   ,,,ACTUACION DJ +SHOU+EQUIPO DE SONIDO. FIESTAS GORRAIZ                                                                                                                                ,1633.5
Fiestas populares y festejos.           ,3380,22620,2017-09-28,IMAGINASCENE EVENTOS Y COMUNICACION S.L                                                   ,,,ACTUACION DE LOS HABITUALES VIERNES 8 SEPT.                                                                                                                                         ,3569.5
Funcionamiento de centros docentes de en,3232,22200,2017-09-30,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,353.93
Promoción cultural                      ,3340,22200,2017-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,5.67
Parques y jardines                      ,1710,22200,2017-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,53.35
Otros servicios de bienestar comunitario,1690,22200,2017-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,56.47
Desarrollo empresarial.                 ,4330,22200,2017-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,65.05
Promoción y fomento del deporte.        ,3410,22200,2017-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,86.15
Servicio Social de Base                 ,2311,22200,2017-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,105.52
Policía Local                           ,1321,22200,2017-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,146.82
Otros servicios comunitarios y sociales ,2399,22200,2017-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,163.86
Escuelas de música                      ,3261,22200,2017-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,178.83
Consultorios y centros de salud         ,3121,22200,2017-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,207.66
Bibliotecas públicas.                   ,3321,22200,2017-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,301.27
Administración General.                 ,9200,22200,2017-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,310.82
Funcionamiento de centros docentes de en,3232,22200,2017-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,316.64
Escuelas infantiles                     ,3231,22200,2017-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,413.94
Administración General.                 ,9200,22101,2017-10-02,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA 2º CUATRIMESTRE                                                                                                                                                          ,23.44
Desarrollo empresarial.                 ,4330,22101,2017-10-02,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA 2º CUATRIMESTRE                                                                                                                                                          ,74.04
Consultorios y centros de salud         ,3121,22101,2017-10-02,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA AGOSTO                                                                                                                                                                   ,92.3
Bibliotecas públicas.                   ,3321,22101,2017-10-02,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA 2º CUATRIMESTRE                                                                                                                                                          ,108.67
Administración General.                 ,9200,22101,2017-10-02,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA AGOSTO                                                                                                                                                                   ,112.39
Otros servicios comunitarios y sociales ,2399,22101,2017-10-02,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA AGOSTO                                                                                                                                                                   ,145.16
Parques y jardines                      ,1710,22101,2017-10-02,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA AGOSTO                                                                                                                                                                   ,172.58
Escuelas infantiles                     ,3231,22101,2017-10-02,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA 2º CUATRIMESTRE                                                                                                                                                          ,192.93
Escuelas infantiles                     ,3231,22101,2017-10-02,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA AGOSTO                                                                                                                                                                   ,268.96
Administración General.                 ,9200,22101,2017-10-02,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA 2º CUATRIMESTRE                                                                                                                                                          ,288.02
Parques y jardines                      ,1710,22101,2017-10-02,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA 2º CUATRIMESTRE                                                                                                                                                          ,350.46
Escuelas de música                      ,3261,22101,2017-10-02,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA 2º CUATRIMESTRE                                                                                                                                                          ,422.91
Otros servicios de bienestar comunitario,1690,22101,2017-10-02,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA 2º CUATRIMESTRE                                                                                                                                                          ,559.59
Funcionamiento de centros docentes de en,3232,22101,2017-10-02,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA AGOSTO                                                                                                                                                                   ,769.84
Promoción y fomento del deporte.        ,3410,22101,2017-10-02,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA 2º CUATRIMESTRE                                                                                                                                                          ,847.59
Parques y jardines                      ,1710,22199,2017-10-02,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,TRANSPORTE COMPOST O RECEBO AGOSTO                                                                                                                                                  ,1025.97
Parques y jardines                      ,1710,22101,2017-10-02,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA 2º CUATRIMESTRE                                                                                                                                                          ,2370.34
Parques y jardines                      ,1710,22101,2017-10-02,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA AGOSTO                                                                                                                                                                   ,12585.01
Otros servicios comunitarios y sociales ,2399,22200,2017-10-02,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONIA FIJA OCTUBRE                                                                                                                                                        ,353.93
Parques y jardines                      ,1710,22103,2017-10-03,GASOLEOS ARTAJONA SL                                                                      ,,,1311 LT GASOLEO VIVERO+821 LT GASOLEO JARDINES                                                                                                                                      ,755.99
Desarrollo empresarial.                 ,4330,22103,2017-10-03,GASOLEOS ARTAJONA SL                                                                      ,,,1311 LT GASOLEO VIVERO+821 LT GASOLEO JARDINES                                                                                                                                      ,783.63
Parques y jardines                      ,1710,21400,2017-10-03,REVISIONES DE NAVARRA S.A.                                                                ,,,ITV NISSAN PRIMASTAR+RENAULT KANGOO JARDINES                                                                                                                                        ,74.31
Administración General.                 ,9200,22602,2017-10-04,DIARIO DE NOTICIAS                                                                        ,,,2ºSUSCRIPCION DIARIO NOTICIAS 01/10/2017-30/09/2018 PAPEL LUNES A VIERNES                                                                                                           ,335.4
Fiestas populares y festejos.           ,3380,22199,2017-10-04,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTOS ELECTRICIDAD FIESTAS BADOSTAIN                                                                                                                                               ,53.55
Otros servicios de bienestar comunitario,1690,22103,2017-10-04,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ                                                  ,VILLA                                   ,,4 TICKETS COMBUSTIBLE SM SEPTIEMBRE                                                                                                                                                 ,150.02
Parques y jardines                      ,1710,22103,2017-10-04,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ                                                  ,VILLA                                   ,,7 TICKETS COMBUSTIBLE JARDINES SEPTIEMBRE                                                                                                                                           ,316.33
Policía Local                           ,1321,22103,2017-10-04,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ                                                  ,VILLA                                   ,,9 TICKETS COMBUSTIBLE PM SEPTIEMBRE                                                                                                                                                 ,433.17
Administración General.                 ,9200,22100,2017-10-06,IBERDROLA COMERCIALIZADORA ULTIMO                                                         ,RECURSO SAU                             ,,GASTO LUZ SEPTIEMBRE                                                                                                                                                                ,32.68
Parques y jardines                      ,1710,22100,2017-10-06,IBERDROLA COMERCIALIZADORA ULTIMO                                                         ,RECURSO SAU                             ,,GASTO LUZ SEPTIEMBRE                                                                                                                                                                ,42.37
Parques y jardines                      ,1710,22100,2017-10-06,IBERDROLA COMERCIALIZADORA ULTIMO                                                         ,RECURSO SAU                             ,,GASTO LUZ SEPTIEMBRE                                                                                                                                                                ,217.93
Alumbrado público.                      ,1650,22100,2017-10-06,IBERDROLA COMERCIALIZADORA ULTIMO                                                         ,RECURSO SAU                             ,,GASTO LUZ SEPTIEMBRE                                                                                                                                                                ,3225.82
Otros servicios comunitarios y sociales ,2399,62600,2017-10-06,THE PHONE HOUSE SPAIN SLU                                                                 ,,,1 MOVIL RESPIRO FAMILIAR CAF + 1 MOVIL AYUNTAMIENTO (PEND ASIGNAR)                                                                                                                  ,223.92
Administración General.                 ,9200,62600,2017-10-06,THE PHONE HOUSE SPAIN SLU                                                                 ,,,1 MOVIL RESPIRO FAMILIAR CAF + 1 MOVIL AYUNTAMIENTO (PEND ASIGNAR)                                                                                                                  ,223.92
Parques y jardines                      ,1710,22799,2017-10-09,ADAXKA S.L.                                                                               ,,,ASISTENCIA TECNICA HUERTOS ECOLOGICOS SEPTIEMBRE                                                                                                                                    ,1394.53
Fiestas populares y festejos.           ,3380,22620,2017-10-09,"ALDER (ECHARTE VIANA, J.RAUL)                                                             ",,,TREN TURISTICO GORRAIZ. FIESTAS GORRAIZ                                                                                                                                             ,2286.9
Policía Local                           ,1321,22706,2017-10-09,"ALDER (ECHARTE VIANA, J.RAUL)                                                             ",,,BARREDORA+TORO MECANICO+HINCHABLES+2 CICLOTREN DIA MOVILIDAD                                                                                                                        ,2904
Administración General.                 ,9200,22604,2017-10-09,AMAIUR ABOGADOS                                                                           ,,,MINUTA DILIGENCIAS 1307/2011 AOIZ AYTO CONTRA IRREGULARIDADES                                                                                                                       ,4235
Otros servicios de bienestar comunitario,1690,21300,2017-10-09,ARRIZABAL ELKARTEA S.L.                                                                   ,,,BRAZO MOTOR CEPILLO +PLACA BARREDORA                                                                                                                                                ,1111.26
Administración General.                 ,9200,22000,2017-10-09,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,4 CARTUCHOS IMPRESORA INTERVENCION                                                                                                                                                  ,96.49
Administración General.                 ,9200,62600,2017-10-09,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,1 ESCANER OAC+1 MONITOR C URTASUN+1 ORDENADOR INFORMATICO+1 ORDENADOR TEC.PARTICIPACION CIUDADANA                                                                                   ,3393.71
Fiestas populares y festejos.           ,3380,22199,2017-10-09,ASOCIACION DE GESTION DE DERECHOS                                                         ,INTELECTUALES                           ,,DERECHOS INTELECTUALES ACTUACIONES MUSICALES BADOSTAIN                                                                                                                              ,3.4
Fiestas populares y festejos.           ,3380,22199,2017-10-09,ASOCIACION DE GESTION DE DERECHOS                                                         ,INTELECTUALES                           ,,DERECHOS INTELECTUALES ACTUACIONES MUSICALES BADOSTAIN                                                                                                                              ,4.54
Fiestas populares y festejos.           ,3380,22199,2017-10-09,ASOCIACION DE GESTION DE DERECHOS                                                         ,INTELECTUALES                           ,,DERECHOS INTELECTUALES ACTUACIONES MUSICALES BADOSTAIN                                                                                                                              ,11.34
Fiestas populares y festejos.           ,3380,22199,2017-10-09,ASOCIACION DE GESTION DE DERECHOS                                                         ,INTELECTUALES                           ,,DERECHOS INTELECTUALES ACTUACIONES MUSICALES BADOSTAIN                                                                                                                              ,11.34
Fiestas populares y festejos.           ,3380,22620,2017-10-09,ASOCIACION LOS COMPADRES                                                                  ,,,CONCIERTO DEL GRUPO THE PANAMA PAPERS BAND FIESTAS GORRAIZ                                                                                                                          ,1380
Bibliotecas públicas.                   ,3321,22199,2017-10-09,AUZOLAN LIBURUDENDA                                                                       ,,,76 LIBROS BIBLIOTECA                                                                                                                                                                ,851.48
Policía Local                           ,1321,22706,2017-10-09,BENITO ROS                                                                                ,,,"EXHIBICIÓN DE TRIAL CON BICI Y MOTO, SEMANA MOVILIDAD                                                                                                                               ",1694
Administración General.                 ,9200,21200,2017-10-09,"CERRAJERIA SUKOT, S.L.                                                                    ",,,CAMBIO PILAS CAJA FUERTE 2º PLANTA DISCOS DUROS AYTO                                                                                                                                ,65.1
Transporte público.                     ,4411,22730,2017-10-09,"COMPAÑIA NAVARRA DE AUTOBUSES, S.A.                                                       ",CONDA                                   ,,MANTENIMIENTO TRANSPORTE CONDA SEPTIEMBRE                                                                                                                                           ,4277.58
Funcionamiento de centros docentes de en,3232,22104,2017-10-09,CONFECCIONES LA INDUSTRIAL NAVARRA S.L.                                                   ,,,2 POLOS+1 PANTALON BEDEL GOIKOETXEA CP                                                                                                                                              ,54.4
Escuelas infantiles                     ,3231,22100,2017-10-09,CONSTRUCCIONES JUAN BAUTISTA FLORES S.A.                                                  ,,,GASTOS ELECTRICIDAD GUARDERIA GORRAIZ 13/08-11/09                                                                                                                                   ,111.6
Escuelas infantiles                     ,3231,20200,2017-10-09,CONSTRUCCIONES JUAN BAUTISTA FLORES S.A.                                                  ,,,ALQUILER LOCAL CENTRO 0-3 EGUES II MES SEPT.Y REGUL AGOSTO                                                                                                                          ,1604.33
Escuelas infantiles                     ,3231,62200,2017-10-09,CONSTRUCCIONES NOVELETA SL                                                                ,,,OBRAS ADICIONALES OBRA REFORMA EN CENTRO 0-3 (INCL.PUERTA NUEVA)                                                                                                                    ,6259.8
Escuelas infantiles                     ,3231,62200,2017-10-09,CONSTRUCCIONES NOVELETA SL                                                                ,,,CERTIFICACION Nº 2 OBRA REFORMA CENTRO 0-3 EN SARRIGUREN                                                                                                                            ,6955.35
Parques y jardines                      ,1710,22199,2017-10-09,CONTENEDORES JOKIN S.L.                                                                   ,,,CAMBIO CONTENEDOR JARDINES PARCELA OLAZ                                                                                                                                             ,240.9
Escuelas infantiles                     ,3231,21200,2017-10-09,CREACIONES FALCON S.L.                                                                    ,,,ESPEJO INCLINADO 0-3 AÑOS SARRIGUREN                                                                                                                                                ,150.12
Administración General.                 ,9200,22604,2017-10-09,DE GREGORIO                                                                               ,GARCIA                                  ,ANA ELISA                     ,MINUTA REGISTRO PROP. ESCRITURA CESION LOCAL ANDACELAY NºENTRADA 3646/2017                                                                                                          ,145.2
Parques y jardines                      ,1710,21000,2017-10-09,DENDA BRICOLAJE S.L.                                                                      ,,,1 SOLENOIDE+1 ARQUETA+6 PILAS+VALLA MADERA                                                                                                                                          ,90.82
Fiestas populares y festejos.           ,3380,22620,2017-10-09,DIARIO DE NAVARRA                                                                         ,,,ANUNCIO FIESTAS GORRAIZ 09/09+ANUNCIO PAISAJE EGULBATI 21/09                                                                                                                        ,145.2
Administración General.                 ,9200,22602,2017-10-09,DIARIO DE NAVARRA                                                                         ,,,2º SUSCRIPCION ANUAL PAPEL LUNES-VIERNES 28/09/17 A 27/09/18                                                                                                                        ,335.4
Administración General.                 ,9200,22602,2017-10-09,DIARIO DE NAVARRA                                                                         ,,,ANUNCIO FIESTAS GORRAIZ 09/09+ANUNCIO PAISAJE EGULBATI 21/09                                                                                                                        ,598.95
Conservación y mantenimiento de la via p,1533,21000,2017-10-09,"DICONA, S.A.                                                                              ",,,24 M TUBO DE SANEAMIENTO CORRUGADO IBIRICU-EGUES-TIRO ARCO                                                                                                                          ,529.62
Escuelas de música                      ,3261,22000,2017-10-09,"DINAFAX, S.L.                                                                             ",,,4.761 COPIAS IMPRESORA ESC MUSICA (FIN 245967) 04/09-20/09                                                                                                                          ,51.85
Administración General.                 ,9200,21600,2017-10-09,"DINAFAX, S.L.                                                                             ",,,4 TRIMESTRE MANTENIMIENTO IMPRESORA 2º PLANTA                                                                                                                                       ,78.65
Administración General.                 ,9200,21600,2017-10-09,"DINAFAX, S.L.                                                                             ",,,4 TRIMESTRE MANTENIMIENTO IMPRESORA 1º PLANTA                                                                                                                                       ,78.65
Administración General.                 ,9200,21600,2017-10-09,"DINAFAX, S.L.                                                                             ",,,4 TRIMESTRE MANTENIMIENTO IMPRESORA ESC MUSICA                                                                                                                                      ,78.65
Administración General.                 ,9200,22000,2017-10-09,"DINAFAX, S.L.                                                                             ",,,9020 COPIAS BN IMPRESORA PLANTA 1 (FIN 491.606) 18/08-22/09                                                                                                                         ,98.23
Euskera                                 ,3350,22799,2017-10-09,DINDAIA FUNDAZIOA                                                                         ,,,TALLERES INFANTILES 16 SEP SEMANA EUSKERA                                                                                                                                           ,800
Desarrollo empresarial.                 ,4330,21200,2017-10-09,DISNAVAL S.L.                                                                             ,,,SUMINISTRO AGUAPLAST VIVERO EMPRESAS                                                                                                                                                ,91.47
Otros servicios de bienestar comunitario,1690,21300,2017-10-09,EGEA                                                                                      ,OLANO                                   ,JESUS MARIA                   ,ARREGLO PINCHAZO REMOLQUE ESP                                                                                                                                                       ,10.89
Parques y jardines                      ,1710,21400,2017-10-09,EGEA                                                                                      ,OLANO                                   ,JESUS MARIA                   ,ARREGLO PINCHAZO REMOLQUE ESP+PINCHAZO VEHICULO JARDINES                                                                                                                            ,45.98
Bibliotecas públicas.                   ,3321,22199,2017-10-09,"ELKAR COMEDIAS, S.L.                                                                      ",,,11 LIBROS BIBLIOTECA                                                                                                                                                                ,117.83
Euskera                                 ,3350,22799,2017-10-09,ELORRIETA                                                                                 ,LARRUZEA                                ,EÑAUT                         ,CONCIERTO EUSKARAREN ASTEA                                                                                                                                                          ,484
Fiestas populares y festejos.           ,3380,22620,2017-10-09,ESPECTACULOS TIC TAK S.L.                                                                 ,,,ACTUACION SABADO FIESTAS SARRIGUREN  ELECTROTXARANGA                                                                                                                                ,2178
Fiestas populares y festejos.           ,3380,22620,2017-10-09,ESPECTACULOS TIC TAK S.L.                                                                 ,,,ACTUACION SABADO FIESTAS SARRIGUREN AKELARRE                                                                                                                                        ,4114
Administración General.                 ,9200,22602,2017-10-09,"EUSKAL EDITOREA, S.L.                                                                     ",,,SUSCRIPCION ANUAL BERRIA MARTES A VIERNES 12/09-31/12                                                                                                                               ,83.45
Administración General.                 ,9200,22602,2017-10-09,"EUSKAL EDITOREA, S.L.                                                                     ",,,SUSCRIPCION ANUAL BERRIA MARTES A DOMINGO 12/09-31/12                                                                                                                               ,130.59
Bibliotecas públicas.                   ,3321,21200,2017-10-09,EXTINIRUÑA S.L.                                                                           ,,,CLAVE SEGURIDAD PARA ANDACELAY SALA OIHANBURU                                                                                                                                       ,30.54
Escuelas de música                      ,3261,21200,2017-10-09,EXTINIRUÑA S.L.                                                                           ,,,PROGRAMACION DOS CODIGOS ACCESO SEGURIDAD ESCUELA DE MUSICA                                                                                                                         ,30.54
Escuelas infantiles                     ,3231,21200,2017-10-09,EXTINIRUÑA S.L.                                                                           ,,,MODIFICACION SISTEMA DE SEGURIDAD POR OBRA 0-3 SARRIGUREN                                                                                                                           ,61.08
Funcionamiento de centros docentes de en,3232,21200,2017-10-09,FERNANDEZ                                                                                 ,BEAUMONT                                ,FELIPE (ALFEFLOR)             ,7 ECOTRAVIESA PINO HUERTA CP URIZ PI                                                                                                                                                ,202.86
Promoción y fomento del deporte.        ,3410,48200,2017-10-09,FUNDACION REMONTE EUSKAL JAI BERRI                                                        ,,,FESTIVAL REMONTE CELEBRADO EN OLAZ                                                                                                                                                  ,1815
Servicio Social de Base                 ,2311,22799,2017-10-09,GIL                                                                                       ,ESPINOSA                                ,Mª PILAR                      ,SERVICIO DE PODOLOGIA SEPTIEMBRE                                                                                                                                                    ,224.9
Fiestas populares y festejos.           ,3380,22620,2017-10-09,GOÑI                                                                                      ,URDANIZ                                 ,JON                           ,DJ VIERNES Y SABADO FIESTAS SARRIGUREN                                                                                                                                              ,726
Euskera                                 ,3350,22799,2017-10-09,GRAFICAS BIAK SL                                                                          ,,,1207 CATALOGO PRODUCTOS EN EUSKERA+50 CARTELES                                                                                                                                      ,960.33
Ordenación del tráfico y del estacionami,1330,22701,2017-10-09,"GRUAS ABAYA, S.L.                                                                         ",,,RETIRADA 3 VEHICULOS SEPTIEMBRE                                                                                                                                                     ,272.32
Conservación y mantenimiento de la via p,1533,21000,2017-10-09,"GRUPO CETYA, S.A.                                                                         ",,,MATERIAL DE RELLENO CAMINO TIRO ARCO                                                                                                                                                ,144.1
Gestión del sistema tributario.         ,9320,22602,2017-10-09,"GUREAK NAVARRA, S.L.U                                                                     ",,,IMPRESION+MICROPERFORADO+MANIPULADO+REPARTO IAE                                                                                                                                     ,422.83
Escuelas de música                      ,3261,21200,2017-10-09,HISPANOFIL                                                                                ,,,4 TUBOS ESC MUSIC+2 MACANISMO PULSADOR+100 ABRAZADERA+15 TUBOS AYTO                                                                                                                 ,59.51
Administración General.                 ,9200,21200,2017-10-09,HISPANOFIL                                                                                ,,,4 TUBOS ESC MUSIC+2 MACANISMO PULSADOR+100 ABRAZADERA+15 TUBOS AYTO                                                                                                                 ,83.14
Consultorios y centros de salud         ,3121,21200,2017-10-09,HISPANOFIL                                                                                ,,,4 MINUTEROS C SALUD                                                                                                                                                                 ,110.74
Otros servicios de bienestar comunitario,1690,21200,2017-10-09,HISPANOFIL                                                                                ,,,SONDA PASACABLES PASAR FIBRA NAVE SM                                                                                                                                                ,265.72
Promoción de la igualdad efectiva entre ,2391,22706,2017-10-09,HUARTE GRAFICA S.A.L.                                                                     ,,,TRIPTICOS Y CARTELES ESCUELA IGUALDAD+115 CARTELES EGULBATI+1400 FLYERS SEMANA MOVILIDAD                                                                                            ,-724.79
Policía Local                           ,1321,22706,2017-10-09,HUARTE GRAFICA S.A.L.                                                                     ,,,TRIPTICOS Y CARTELES ESCUELA IGUALDAD+115 CARTELES EGULBATI+1400 FLYERS SEMANA MOVILIDAD                                                                                            ,-251.68
Empleo social protegido                 ,2419,22706,2017-10-09,HUARTE GRAFICA S.A.L.                                                                     ,,,TRIPTICOS Y CARTELES ESCUELA IGUALDAD+115 CARTELES EGULBATI+1400 FLYERS SEMANA MOVILIDAD                                                                                            ,-106.48
Policía Local                           ,1321,22706,2017-10-09,HUARTE GRAFICA S.A.L.                                                                     ,,,1500 PROGRAMAS+125 CARTELES GORRAIZ+115 CARTELES SARRIGUREN EGUNA+100 CARTELES SEMANA MOVILIDAD+2000 SOBRES PROG JOVEN                                                              ,94.38
Fiestas populares y festejos.           ,3370,22620,2017-10-09,HUARTE GRAFICA S.A.L.                                                                     ,,,1500 PROGRAMAS+125 CARTELES GORRAIZ+115 CARTELES SARRIGUREN EGUNA+100 CARTELES SEMANA MOVILIDAD+2000 SOBRES PROG JOVEN                                                              ,94.38
Participación ciudadana.                ,9240,22706,2017-10-09,HUARTE GRAFICA S.A.L.                                                                     ,,,8700 TRIPTICOS Y 120 CARTELES ESC. IGUALDAD+115 CARTELES EGULBATI HABLA VERNACULA+1400                                                                                              ,106.48
Empleo social protegido                 ,2419,22706,2017-10-09,HUARTE GRAFICA S.A.L.                                                                     ,,,TRIPTICOS Y CARTELES ESCUELA IGUALDAD+115 CARTELES EGULBATI+1400 FLYERS SEMANA MOVILIDAD                                                                                            ,106.48
Euskera                                 ,3350,22799,2017-10-09,HUARTE GRAFICA S.A.L.                                                                     ,,,1500 PROGRAMAS+125 CARTELES GORRAIZ+115 CARTELES SARRIGUREN EGUNA+100 CARTELES SEMANA MOVILIDAD+2000 SOBRES PROG JOVEN                                                              ,226.27
Policía Local                           ,1321,22706,2017-10-09,HUARTE GRAFICA S.A.L.                                                                     ,,,8700 TRIPTICOS Y 120 CARTELES ESC. IGUALDAD+115 CARTELES EGULBATI HABLA VERNACULA+1400                                                                                              ,251.68
Policía Local                           ,1321,22706,2017-10-09,HUARTE GRAFICA S.A.L.                                                                     ,,,TRIPTICOS Y CARTELES ESCUELA IGUALDAD+115 CARTELES EGULBATI+1400 FLYERS SEMANA MOVILIDAD                                                                                            ,251.68
Promoción de la igualdad efectiva entre ,2391,22706,2017-10-09,HUARTE GRAFICA S.A.L.                                                                     ,,,8700 TRIPTICOS Y 120 CARTELES ESC. IGUALDAD+115 CARTELES EGULBATI HABLA VERNACULA+1400                                                                                              ,724.79
Promoción de la igualdad efectiva entre ,2391,22706,2017-10-09,HUARTE GRAFICA S.A.L.                                                                     ,,,TRIPTICOS Y CARTELES ESCUELA IGUALDAD+115 CARTELES EGULBATI+1400 FLYERS SEMANA MOVILIDAD                                                                                            ,724.79
Fiestas populares y festejos.           ,3380,22620,2017-10-09,HUARTE GRAFICA S.A.L.                                                                     ,,,1500 PROGRAMAS+125 CARTELES GORRAIZ+115 CARTELES SARRIGUREN EGUNA+100 CARTELES SEMANA MOVILIDAD+2000 SOBRES PROG JOVEN                                                              ,781.66
Otros servicios de bienestar comunitario,1690,22100,2017-10-09,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ SEPTIEMBRE                                                                                                                                                                ,93.19
Escuelas de música                      ,3261,22100,2017-10-09,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ SEPTIEMBRE                                                                                                                                                                ,258.23
Consultorios y centros de salud         ,3121,22100,2017-10-09,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ SEPTIEMBRE                                                                                                                                                                ,320.8
Promoción y fomento del deporte.        ,3410,22100,2017-10-09,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ SEPTIEMBRE                                                                                                                                                                ,519.39
Bibliotecas públicas.                   ,3321,22100,2017-10-09,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ SEPTIEMBRE                                                                                                                                                                ,626.32
Otros servicios comunitarios y sociales ,2399,22100,2017-10-09,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ SEPTIEMBRE                                                                                                                                                                ,784.24
