#DESCRIPCIÓN FUNCIONAL ,CÓDIGO FUNCIONAL,CÓDIGO ECONÓMICO,FECHA,TERCERO,f,g,DESCRIPCIÓN,IMPORTE PAGO
Promoción cultural                      ,3340,22750,2016-01-04,GOLOSINAS SAGASTI S.L.                                                                    ,,,40 KG CARAMELOS+GLOBOS (VARIOS CABALGATA REYES)                                                                                                                                     ,187.57
Parques y jardines                      ,1710,22103,2016-11-04,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ                                                  ,VILLA                                   ,,4 TICKETS COMBUSTIBLE OCTUBRE JARDINES                                                                                                                                              ,180.04
Escuelas de música                      ,3261,22100,2016-11-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ OCTUBRE                                                                                                                                                                   ,314.48
Desarrollo empresarial.                 ,4330,22100,2016-11-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ OCTUBRE                                                                                                                                                                   ,432.64
Bibliotecas públicas.                   ,3321,22100,2016-11-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ OCTUBRE                                                                                                                                                                   ,443.47
Consultorios y centros de salud         ,3121,22100,2016-11-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ OCTUBRE                                                                                                                                                                   ,565.44
Otros servicios comunitarios y sociales ,2399,22100,2016-11-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ OCTUBRE                                                                                                                                                                   ,639.65
Escuelas infantiles                     ,3231,22100,2016-11-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ OCTUBRE                                                                                                                                                                   ,921.11
Parques y jardines                      ,1710,22100,2016-11-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ OCTUBRE                                                                                                                                                                   ,1341.65
Promoción y fomento del deporte.        ,3410,22100,2016-11-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ OCTUBRE                                                                                                                                                                   ,1415.94
Funcionamiento de centros docentes de en,3232,22100,2016-11-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ OCTUBRE                                                                                                                                                                   ,1890.61
Administración General.                 ,9200,22100,2016-11-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ OCTUBRE                                                                                                                                                                   ,4046.87
Alumbrado público.                      ,1650,22100,2016-11-07,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ OCTUBRE                                                                                                                                                                   ,18451.63
Parques y jardines                      ,1710,22100,2016-11-07,IBERDROLA COMERCIALIZADORA ULTIMO                                                         ,RECURSO SAU                             ,,GASTO LUZ ALUMBRADO OCTUBRE                                                                                                                                                         ,212.32
Alumbrado público.                      ,1650,22100,2016-11-07,IBERDROLA COMERCIALIZADORA ULTIMO                                                         ,RECURSO SAU                             ,,GASTO LUZ ALUMBRADO OCTUBRE                                                                                                                                                         ,1844.14
Gestión del sistema tributario.         ,9320,22708,2016-11-11,GESERLOCAL SL                                                                             ,,,GESTION COBROS EJECUTIVA 3º TRIMESTRE                                                                                                                                               ,1624.92
Promoción cultural                      ,3340,22750,2016-11-16,AGUIRRE                                                                                   ,SANTESTEBAN                             ,SARA                          ,35 KG CASTAÑAS ASADAS DIA DE HALLOWEEN                                                                                                                                              ,350.16
Bibliotecas públicas.                   ,3321,22000,2016-11-16,AISE I+D SL                                                                               ,,,SESION NARRACION MADRE TIERRA EN EUSKARA LUDOTECA                                                                                                                                   ,350
Policía Local                           ,1321,22606,2016-11-16,"ALAY PRODUCTOS CLINICOS, S.A.                                                             ",,,5 GORROS CIRCULAR EDUCACION VIAL                                                                                                                                                    ,10.62
Protección de la salubridad pública.    ,3110,22709,2016-11-16,ALBA TRATAMIENTOS DE HIGIENE SL                                                           ,,,DESRATIZACION ALCANTARILLADO PUEBLOS                                                                                                                                                ,2868.95
Parques y jardines                      ,1710,22199,2016-11-16,ALDAZ ECHARRI S.A.                                                                        ,,,52 KG CORRUGADO B500 8 MM  MATERIAL JARDINES                                                                                                                                        ,50.34
Fiestas populares y festejos.           ,3370,22620,2016-11-16,ALQUIBALAT S.L.                                                                           ,,,ALQUILER 3 SANITARIOS PORTATILES+1 PIRAMIDE DIA JUVENTUD                                                                                                                            ,344.85
Escuelas infantiles                     ,3231,21200,2016-11-16,ALUMINIOS PAMPLONA                                                                        ,,,MOSQUITERA GUARDERIA GORRAIZ 2                                                                                                                                                      ,284.83
Parques y jardines                      ,1710,60900,2016-11-16,ALVECON S.L.                                                                              ,,,ALQUILER DUMPER+ALQUILER RODILLO NEUMAC BALSA ELIA                                                                                                                                  ,1420.09
Administración General.                 ,9200,22770,2016-11-16,ASESORIA LABORAL RUIZ-PIQUER SL                                                           ,,,ASESORIA OCTUBRE                                                                                                                                                                    ,1165.23
Parques y jardines                      ,1710,21200,2016-11-16,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,83 LICENCIA ANTIVIRUS 3 AÑOS  HASTA 2019                                                                                                                                            ,53.02
Escuelas infantiles                     ,3231,22199,2016-11-16,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,83 LICENCIA ANTIVIRUS 3 AÑOS  HASTA 2019                                                                                                                                            ,53.02
Escuelas de música                      ,3261,22000,2016-11-16,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,83 LICENCIA ANTIVIRUS 3 AÑOS  HASTA 2019                                                                                                                                            ,132.55
Administración General.                 ,9200,22000,2016-11-16,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,9 CARTUCHOS IMPRESORAS AYTO                                                                                                                                                         ,169.01
Policía Local                           ,1321,22000,2016-11-16,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,83 LICENCIA ANTIVIRUS 3 AÑOS  HASTA 2019                                                                                                                                            ,212.08
Administración General.                 ,9200,22000,2016-11-16,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,4 TONERS IMPRESORA ALCALDIA                                                                                                                                                         ,215.13
Otros servicios comunitarios y sociales ,2399,22000,2016-11-16,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,83 LICENCIA ANTIVIRUS 3 AÑOS  HASTA 2019                                                                                                                                            ,318.12
Servicio Social de Base                 ,2311,22002,2016-11-16,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,83 LICENCIA ANTIVIRUS 3 AÑOS  HASTA 2019                                                                                                                                            ,477.18
Administración General.                 ,9200,22002,2016-11-16,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,83 LICENCIA ANTIVIRUS 3 AÑOS  HASTA 2019                                                                                                                                            ,954.36
Administración General.                 ,9200,62600,2016-11-16,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,IPAD+FUNDA+PROTECTOR PANTALLA ALCALDIA                                                                                                                                              ,1000.32
Parques y jardines                      ,1710,21400,2016-11-16,AUTOMOCION MENDILLORRI S.A.L.                                                             ,,,REPARAR TUBO CALEFACCION+ANTICONGELANTE NISSAN JARDINES                                                                                                                             ,109.5
Policía Local                           ,1321,21400,2016-11-16,AUTOMOCION MENDILLORRI S.A.L.                                                             ,,,CAMBIO ACEITE Y FILTRO+REVISAR NIVELES+REVISION GENERAL DACIA PM                                                                                                                    ,151.3
Policía Local                           ,1321,22104,2016-11-16,AYALA                                                                                     ,ZARAZA                                  ,FREDY ALBERTO                 ,CAMBIO CREMALLERA CHAQUETA PM                                                                                                                                                       ,11.99
Bibliotecas públicas.                   ,3321,22199,2016-11-16,"BACAICOA INDUSTRIAS PLASTICAS, S.A.                                                       ",,,PLASTICO PARA TAPAR MATERIALES NUEVA BIBLIOTECA                                                                                                                                     ,53.36
Bibliotecas públicas.                   ,3321,22750,2016-11-16,BELEN ALVAREZ DISTRIBUCION Y GESTION DE                                                   ,,,"CUENTA CUENTOS ""MONSTRUOA IZAN NAHI DUT"" 21/10 HALLOWEN                                                                                                                             ",302.5
Fiestas populares y festejos.           ,3370,22620,2016-11-16,BERE                                                                                      ,LUSARRETA                               ,ANDREA                        ,DISEÑOS LOGOS+CARTEL+ILUSTRACION CAMISETA DIA JUVENTUD                                                                                                                              ,300
Administración General.                 ,9200,21200,2016-11-16,BOBINADOS LABRIT S.L                                                                      ,,,REPARAR BOMBA FECALES C. CONSISTORIAL                                                                                                                                               ,721.16
Fiestas populares y festejos.           ,3370,22620,2016-11-16,CARMONA                                                                                   ,BENITEZ                                 ,IVAN                          ,CONCIERTO IMPACTO BADOSTAIN DIA DE LA JUVENTUD                                                                                                                                      ,300
Administración General.                 ,9200,22000,2016-11-16,COMERCIAL MAQUELSA PAMPLONA 2008 S.L                                                      ,,(MAQUELSA)                    ,2306 COPIAS IMPRESORA OAC 26/08-26/09 (ULTIMO A4 245.619)                                                                                                                           ,22.32
Administración General.                 ,9200,22000,2016-11-16,COMERCIAL MAQUELSA PAMPLONA 2008 S.L                                                      ,,(MAQUELSA)                    ,2390 COPIAS IMPRESORA OAC 26/09-31/10 (ULTIMO A4 248.009)                                                                                                                           ,23.21
Otros servicios de bienestar comunitario,1690,21200,2016-11-16,COMERCIAL TUBOFERRO S.L.                                                                  ,,,LLANTA PARA SUJETAR MESAS OAC+SOPORTE CARPA NAVE                                                                                                                                    ,15.31
Administración General.                 ,9200,21200,2016-11-16,COMERCIAL TUBOFERRO S.L.                                                                  ,,,LLANTA PARA SUJETAR MESAS OAC+SOPORTE CARPA NAVE                                                                                                                                    ,36.6
Promoción cultural                      ,3340,22750,2016-11-16,COMPARSA GIGANTES VALLE EGUES                                                             ,,,SALIDAS SEGUNDO SEMESTRE                                                                                                                                                            ,998.25
Funcionamiento de centros docentes de en,3232,22104,2016-11-16,CONFECCIONES LA INDUSTRIAL NAVARRA S.L.                                                   ,,,2 PANTALONES AZULES CONSERJE CP                                                                                                                                                     ,57.81
Otros servicios de bienestar comunitario,1690,22104,2016-11-16,CONFECCIONES LA INDUSTRIAL NAVARRA S.L.                                                   ,,,7 CAMISETA+1 CAMISA+2 POLO+2 CHAQUETA+13 PANTALON+33 CALCETIN+3 CHALECO                                                                                                             ,937.17
Funcionamiento de centros docentes de en,3232,22104,2016-11-16,"CONFEIRUÑA, S.L.                                                                          ",,,12 PAR GUANTES+12 CAMISETA TERMICA+9 CALZON TERMICO+8 FAJA+1 PAR ZAPATILLAS                                                                                                         ,44.65
Empleo social protegido                 ,2412,22104,2016-11-16,"CONFEIRUÑA, S.L.                                                                          ",,,12 PAR GUANTES+12 CAMISETA TERMICA+9 CALZON TERMICO+8 FAJA+1 PAR ZAPATILLAS                                                                                                         ,771.24
Administración General.                 ,9200,21600,2016-11-16,CONSULTORIA NAVARRA DE TELECOMUNICACIONE                                                  ,"S, S.L.                                 ",CONATEL                       ,ALMOHADILLAS CASCO IDOIA ITURRI                                                                                                                                                     ,6.87
Administración General.                 ,9200,63200,2016-11-16,CONSULTORIA NAVARRA DE TELECOMUNICACIONE                                                  ,"S, S.L.                                 ",CONATEL                       ,TELEFONOS NUEVOS DESPACHOS AYUNTAMIENTO                                                                                                                                             ,716.37
Parques y jardines                      ,1710,22199,2016-11-16,CONTENEDORES JOKIN S.L.                                                                   ,,,VIAJE CONTENEDOR REVUELTO OLAZ JARDINES                                                                                                                                             ,240.9
Parques y jardines                      ,1710,21000,2016-11-16,DENDA BRICOLAJE S.L.                                                                      ,,,VALVULA SOLENOIDE 24                                                                                                                                                                ,107.45
Empleo social protegido                 ,2419,22706,2016-11-16,DIARIO DE NAVARRA                                                                         ,,,100 CARTEL+500 FOLLETO II CONCURSO PROMOCION COMERCIAL                                                                                                                              ,1887.6
Administración General.                 ,9200,22000,2016-11-16,"DINAFAX, S.L.                                                                             ",,,8731 COPIAS BN IMPRESORA PLANTA 1 (FIN 379998) 13/10 A 02/11                                                                                                                        ,95.08
Euskera                                 ,3350,22799,2016-11-16,DINDAIA FUNDAZIOA                                                                         ,,,SERVICIO GUARDERIA ACTIVIDADES EUSKERA                                                                                                                                              ,98
Otros servicios de bienestar comunitario,1690,21200,2016-11-16,DISNAVAL S.L.                                                                             ,,,SPRAY BLANCO MESA/BARREDORA                                                                                                                                                         ,22.87
Funcionamiento de centros docentes de en,3232,21200,2016-11-16,DISNAVAL S.L.                                                                             ,,,"PINTURA BLANCA COLEGIO,RESINA , 5LT CERA BANCOS                                                                                                                                     ",91.26
Otros servicios de bienestar comunitario,1690,21900,2016-11-16,DISNAVAL S.L.                                                                             ,,,5 LTS CERA BANCOS EGUES Y GORRAIZ+3 SPRAYS (VERDE-BLANCO-GRIS)                                                                                                                      ,249.31
Otros servicios de bienestar comunitario,1690,21900,2016-11-16,DISNAVAL S.L.                                                                             ,,,"PINTURA BLANCA COLEGIO,RESINA , 5LT CERA BANCOS                                                                                                                                     ",278.78
Otros servicios de bienestar comunitario,1690,21300,2016-11-16,EGEA                                                                                      ,OLANO                                   ,JESUS MARIA                   ,RUEDA BARREDORA+2 RUEDAS IVECO SM                                                                                                                                                   ,769.74
Promoción de la igualdad efectiva entre ,2391,22706,2016-11-16,ELKARKIDE                                                                                 ,,,REPARTO FOLLETOS Y COLOCAR CARTELES 25N                                                                                                                                             ,385.97
Otros servicios de bienestar comunitario,1690,21300,2016-11-16,ELUDAKAR                                                                                  ,,,FILTRO BARREDORA                                                                                                                                                                    ,17.29
Otros servicios de bienestar comunitario,1690,21300,2016-11-16,ELUDAKAR                                                                                  ,,,4 FILTROS BARREDORA                                                                                                                                                                 ,121.32
Fiestas populares y festejos.           ,3370,22620,2016-11-16,EMAGIN EMAKUMEAREN INGURUKO IKERKUNTZA                                                    ,SUSTATZEKO ELKARTEA                     ,,"1,5 H TALLER MICROMACHISMO Y 3 H PUESTO VIOLENCIA SEXISTA. DIA JUVENTUD                                                                                                             ",450
Fiestas populares y festejos.           ,3380,22199,2016-11-16,ERICE                                                                                     ,CIA                                     ,MIGUEL ANGEL                  ,MONTAR Y DESMONTAR CARPA FIESTAS BADOSTAIN                                                                                                                                          ,196.02
Promoción cultural                      ,3340,22750,2016-11-16,ESPECTACULOS TIC TAK S.L.                                                                 ,,,ACTUACION VERBENA EL BOSQUE ENCANTADO 28/10 HALLOWEEN                                                                                                                               ,1694
Administración General.                 ,9200,22000,2016-11-16,EUREKA PAPEL SL                                                                           ,,,20 ARCHIVADORES+12 LAPIZ+24 BOLIS PILOT+28 POSITS                                                                                                                                   ,107.22
Administración General.                 ,9200,22000,2016-11-16,EUREKA PAPEL SL                                                                           ,,,4000 SOBRES JUZGADOS DE PAZ                                                                                                                                                         ,333.96
Administración General.                 ,9200,21200,2016-11-16,EXTINIRUÑA S.L.                                                                           ,,,ASISTENCIA MANTENIMIENTO SIST PREV INCENDIOS Y ALARMAS DE SEGURIDAD 3º TRIM                                                                                                         ,13.09
Parques y jardines                      ,1710,21200,2016-11-16,EXTINIRUÑA S.L.                                                                           ,,,ASISTENCIA MANTENIMIENTO SIST PREV INCENDIOS Y ALARMAS DE SEGURIDAD 3º TRIM                                                                                                         ,48.58
Consultorios y centros de salud         ,3121,21200,2016-11-16,EXTINIRUÑA S.L.                                                                           ,,,ASISTENCIA MANTENIMIENTO SIST PREV INCENDIOS Y ALARMAS DE SEGURIDAD 3º TRIM                                                                                                         ,50.77
Otros servicios comunitarios y sociales ,2399,21200,2016-11-16,EXTINIRUÑA S.L.                                                                           ,,,ASISTENCIA MANTENIMIENTO SIST PREV INCENDIOS Y ALARMAS DE SEGURIDAD 3º TRIM                                                                                                         ,52.95
Funcionamiento de centros docentes de en,3232,21200,2016-11-16,EXTINIRUÑA S.L.                                                                           ,,,BORRAR CODIGO Y MODIFICAR NIVELES CP                                                                                                                                                ,53.45
Otros servicios de bienestar comunitario,1690,21200,2016-11-16,EXTINIRUÑA S.L.                                                                           ,,,ASISTENCIA MANTENIMIENTO SIST PREV INCENDIOS Y ALARMAS DE SEGURIDAD 3º TRIM                                                                                                         ,61.67
Desarrollo empresarial.                 ,4330,21200,2016-11-16,EXTINIRUÑA S.L.                                                                           ,,,ASISTENCIA MANTENIMIENTO SIST PREV INCENDIOS Y ALARMAS DE SEGURIDAD 3º TRIM                                                                                                         ,61.67
Escuelas de música                      ,3261,21200,2016-11-16,EXTINIRUÑA S.L.                                                                           ,,,ASISTENCIA MANTENIMIENTO SIST PREV INCENDIOS Y ALARMAS DE SEGURIDAD 3º TRIM                                                                                                         ,66.04
Escuelas infantiles                     ,3231,21200,2016-11-16,EXTINIRUÑA S.L.                                                                           ,,,ASISTENCIA MANTENIMIENTO SIST PREV INCENDIOS Y ALARMAS DE SEGURIDAD 3º TRIM                                                                                                         ,158.85
Administración General.                 ,9200,21200,2016-11-16,EXTINIRUÑA S.L.                                                                           ,,,ASISTENCIA MANTENIMIENTO SIST PREV INCENDIOS Y ALARMAS DE SEGURIDAD 3º TRIM                                                                                                         ,196.92
Funcionamiento de centros docentes de en,3232,21200,2016-11-16,EXTINIRUÑA S.L.                                                                           ,,,ASISTENCIA MANTENIMIENTO SIST PREV INCENDIOS Y ALARMAS DE SEGURIDAD 3º TRIM                                                                                                         ,225.37
Parques y jardines                      ,1710,22199,2016-11-16,FERNANDEZ                                                                                 ,BEAUMONT                                ,FELIPE (ALFEFLOR)             ,SUBSTRATO Y GARMIN URBANO HUERTAS COLEGIO                                                                                                                                           ,279.74
Otros servicios de bienestar comunitario,1690,21200,2016-11-16,FERRETERIA BERRIAINZ                                                                      ,,,1 PLACA METRACRILATO CP+LAMAS PERSIANA CP+JUEGO HERRAMIENTA CP                                                                                                                      ,10.1
Administración General.                 ,9200,21200,2016-11-16,FERRETERIA BERRIAINZ                                                                      ,,,1 PLACA METRACRILATO CP+LAMAS PERSIANA CP+JUEGO HERRAMIENTA CP                                                                                                                      ,13.19
Administración General.                 ,9200,21200,2016-11-16,FERRETERIA BERRIAINZ                                                                      ,,,1 PLACA METRACRILATO CP+LAMAS PERSIANA CP+JUEGO HERRAMIENTA CP                                                                                                                      ,13.72
Policía Local                           ,1321,22706,2016-11-16,FERRETERIA BERRIAINZ                                                                      ,,,BOBINA PAPEL SM+BANDA SEÑALIZAR+4SOPORTE BICIS AYTO+ARREGLO GENERADOR                                                                                                               ,35.09
Otros servicios de bienestar comunitario,1690,21300,2016-11-16,FERRETERIA BERRIAINZ                                                                      ,,,BOBINA PAPEL SM+BANDA SEÑALIZAR+4SOPORTE BICIS AYTO+ARREGLO GENERADOR                                                                                                               ,131.43
Otros servicios de bienestar comunitario,1690,21200,2016-11-16,FERRETERIA BERRIAINZ                                                                      ,,,BOBINA PAPEL SM+BANDA SEÑALIZAR+4SOPORTE BICIS AYTO+ARREGLO GENERADOR                                                                                                               ,132.81
Administración General.                 ,9200,21200,2016-11-16,FERRETERIA BERRIAINZ                                                                      ,,,BOBINA PAPEL SM+BANDA SEÑALIZAR+4SOPORTE BICIS AYTO+ARREGLO GENERADOR                                                                                                               ,456.39
Funcionamiento de centros docentes de en,3232,21200,2016-11-16,FERRETERIA BERRIAINZ                                                                      ,,,1 PLACA METRACRILATO CP+LAMAS PERSIANA CP+JUEGO HERRAMIENTA CP                                                                                                                      ,1076.9
Consultorios y centros de salud         ,3121,22102,2016-11-16,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS SEPTIEMBRE                                                                                                                                                                ,89.54
Consultorios y centros de salud         ,3121,22102,2016-11-16,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS JULIO                                                                                                                                                                     ,123.68
Consultorios y centros de salud         ,3121,22102,2016-11-16,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS OCTUBRE                                                                                                                                                                   ,186.19
Promoción y fomento del deporte.        ,3410,22102,2016-11-16,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS SEPTIEMBRE                                                                                                                                                                ,188.19
Escuelas infantiles                     ,3231,22102,2016-11-16,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS OCTUBRE                                                                                                                                                                   ,196.59
Promoción y fomento del deporte.        ,3410,22102,2016-11-16,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS JULIO                                                                                                                                                                     ,199.15
Escuelas de música                      ,3261,22102,2016-11-16,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS OCTUBRE                                                                                                                                                                   ,209.26
Promoción y fomento del deporte.        ,3410,22102,2016-11-16,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS OCTUBRE                                                                                                                                                                   ,211.95
Funcionamiento de centros docentes de en,3232,22102,2016-11-16,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS SEPTIEMBRE                                                                                                                                                                ,255.52
Parques y jardines                      ,1710,22102,2016-11-16,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS OCTUBRE                                                                                                                                                                   ,300.6
Escuelas infantiles                     ,3231,22102,2016-11-16,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS SEPTIEMBRE                                                                                                                                                                ,351.45
Bibliotecas públicas.                   ,3321,22102,2016-11-16,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS SEPTIEMBRE                                                                                                                                                                ,380.05
Escuelas infantiles                     ,3231,22102,2016-11-16,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS JULIO                                                                                                                                                                     ,439.11
Administración General.                 ,9200,22102,2016-11-16,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS SEPTIEMBRE                                                                                                                                                                ,630.19
Bibliotecas públicas.                   ,3321,22102,2016-11-16,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS OCTUBRE                                                                                                                                                                   ,834
Funcionamiento de centros docentes de en,3232,22102,2016-11-16,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS OCTUBRE                                                                                                                                                                   ,925.59
Administración General.                 ,9200,22102,2016-11-16,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS JULIO                                                                                                                                                                     ,983.43
Administración General.                 ,9200,22102,2016-11-16,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS OCTUBRE                                                                                                                                                                   ,1076.31
Funcionamiento de centros docentes de en,3232,22102,2016-11-16,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,GASTO GAS JULIO                                                                                                                                                                     ,1542.24
Empleo social protegido                 ,2412,22104,2016-11-16,GESPORT S.L.                                                                              ,,,2 SUDADERA+2PANTALON+3 CAMISETAS+2 ZUECO (TERESA ECHEVERRIA Y DORIS ESP)                                                                                                            ,92.07
"Urbanismo: planeamiento, gestión, ejecuc",1510,22760,2016-11-16,"GESTION AMBIENTAL DE NAVARRA, S.A.U.                                                      ",,,"INF.LICENCIA ACTIVIDAD Y APERTURA MERCADONA, COLEGIO NUEVO, ELOMENDI HADOCK                                                                                                         ",877.25
Servicio Social de Base                 ,2311,22799,2016-11-16,GIL                                                                                       ,ESPINOSA                                ,Mª PILAR                      ,SERVICIOS PODOLOGIA NOVIEMBRE                                                                                                                                                       ,224.9
Fiestas populares y festejos.           ,3370,22620,2016-11-16,"GONZALEZ.I, IRIARTE.R, OLABE.I                                                            ",,TANTATIC DISEÑOSDESARROLL     ,IMPRESION 200 CARTELES+4 TALONARIOS TICKETS COMIDA+250 PAÑUELOS                                                                                                                     ,961.59
Fiestas populares y festejos.           ,3370,22620,2016-11-16,"GRUAS NOAIN, S.A.                                                                         ",,,MONTAJE CARPA BADOSTAIN DIA JUVENTUD                                                                                                                                                ,185.13
Fiestas populares y festejos.           ,3370,22620,2016-11-16,"GRUAS NOAIN, S.A.                                                                         ",,,DESMONTAR ESCENARIOS BADOSTAIN DIA JUVENTUD                                                                                                                                         ,185.13
Empleo social protegido                 ,2419,62900,2016-11-16,GUTIERREZ                                                                                 ,GOÑI                                    ,ALBERTO                       ,INFORME FINAL DIAGNOSTICO COMERCIO MINORISTA                                                                                                                                        ,1724.25
Administración General.                 ,9200,63200,2016-11-16,"HARINSA NAVASFALT, S.A.                                                                   ",,,IMPORTE 1º CERTIFICACION DESPACHOS AYTO                                                                                                                                             ,21262.93
Administración General.                 ,9200,22602,2016-11-16,HEDA COMUNICACION                                                                         ,,,8000 EJEMPLARES REVISTA ZE BERRI 121                                                                                                                                                ,876.08
Fiestas populares y festejos.           ,3370,22620,2016-11-16,HERNANDEZ                                                                                 ,BOCANEGRA                               ,JULEN                         ,CONCIERTO BOURBON KINGS BADOSTAIN DIA JUVENTUD                                                                                                                                      ,300
Escuelas infantiles                     ,3231,21200,2016-11-16,HISPANOFIL                                                                                ,,,INTERRUPTOR GUARDERIA 3                                                                                                                                                             ,24.9
Administración General.                 ,9200,21200,2016-11-16,HISPANOFIL                                                                                ,,,BRIDA EXTERIOR INSTALACION CARPA                                                                                                                                                    ,44.52
Servicio Social de Base                 ,2311,22799,2016-11-16,HUARTE GRAFICA S.A.L.                                                                     ,,,CARTELES ESTOY AQUI ME VES? +300 CARPETAS ROJAS+200 CARPETAS AMARILLAS                                                                                                              ,237.16
Administración General.                 ,9200,22000,2016-11-16,HUARTE GRAFICA S.A.L.                                                                     ,,,CARTELES ESTOY AQUI ME VES? +300 CARPETAS ROJAS+200 CARPETAS AMARILLAS                                                                                                              ,261.36
Promoción y fomento del deporte.        ,3410,21200,2016-11-16,HUMICLIMA NORTE S.A.                                                                      ,,,MANTENIMIENTO CALEFACCION BAR PISCINAS 3 TRIMESTRE                                                                                                                                  ,437.5
Fiestas populares y festejos.           ,3380,22620,2016-11-16,IMAGINASCENE EVENTOS Y COMUNICACION S.L                                                   ,,,ACTUACION BLACK LIST SOUL FIESTAS GORRAIZ                                                                                                                                           ,1416.99
Promoción cultural                      ,3340,22750,2016-11-16,"IMPRENTA GOLDARACENA, S.L.                                                                ",,,DISEÑO E IMPRESION 150 CARTELES HALLOWEN                                                                                                                                            ,203.28
Parques y jardines                      ,1710,21900,2016-11-16,IRAOLA-ARTETA S.L.                                                                        ,,,LIMPIEZA FOSA SEPTICA HUERTAS                                                                                                                                                       ,129
