#DESCRIPCIÓN FUNCIONAL ,CÓDIGO FUNCIONAL,CÓDIGO ECONÓMICO,FECHA,TERCERO,f,g,DESCRIPCIÓN,IMPORTE PAGO
Promoción cultural                      ,3340,22200,2018-01-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO DICIEMBRE                                                                                                                                                       ,5.82
Parques y jardines                      ,1710,21000,2018-09-27,GREEN TAL S.A.                                                                            ,,,PROYECTO LINEA VERDE (1º PARTE 50%)                                                                                                                                                 ,500
Administración General.                 ,9200,22602,2018-09-27,GREEN TAL S.A.                                                                            ,,,PROYECTO LINEA VERDE (1º PARTE 50%)                                                                                                                                                 ,1359.5
Ordenación del tráfico y del estacionami,1330,22701,2018-09-27,"GRUAS ABAYA, S.L.                                                                         ",,,RETIRADA 10 VEHICULOS AGOSTO                                                                                                                                                        ,869.22
Administración General.                 ,9200,22602,2018-09-27,HEDA COMUNICACION                                                                         ,,,ZE BERRI? 132. 8.000 EJEMPLARES                                                                                                                                                     ,810.16
Fiestas populares y festejos.           ,3380,22620,2018-09-27,HERNANDEZ                                                                                 ,LARREA                                  ,LINO                          ,"EQUIPO SONIDO CARPA DIAS 7,8 Y 9                                                                                                                                                    ",393.25
Parques y jardines                      ,1710,21000,2018-09-27,HIDRO SOLAR                                                                               ,,,12 BIDONESX20LT HIPOCLORITO SODICO LAGO                                                                                                                                             ,258.6
Parques y jardines                      ,1710,21000,2018-09-27,HIDRO SOLAR                                                                               ,,,12 BIDONESX20LT HIPOCLORITO SODICO LAGO                                                                                                                                             ,276.75
Parques y jardines                      ,1710,21000,2018-09-27,HIDRO SOLAR                                                                               ,,,12 BIDONESX20LT HIPOCLORITO SODICO LAGO                                                                                                                                             ,276.75
Parques y jardines                      ,1710,21000,2018-09-27,HIDRO SOLAR                                                                               ,,,12X20 LT HIPOCLORITO SODICO LAGO                                                                                                                                                    ,276.75
Parques y jardines                      ,1710,21000,2018-09-27,HIDRO SOLAR                                                                               ,,,12 BIDONESX20LT HIPOCLORITO SODICO LAGO+ACIDO NITRICO                                                                                                                               ,286.48
Euskera                                 ,3350,22799,2018-09-27,HUARTE GRAFICA S.A.L.                                                                     ,,,120 CARTELES Y 8700 A5 ESCUELA IGUALDAD+130 CARTELES EUSKARAREN ASTEA                                                                                                               ,107.69
Euskera                                 ,3350,22799,2018-09-27,HUARTE GRAFICA S.A.L.                                                                     ,,,8500 FOLLETOS PROGRAMACION SEPTIEMBRE                                                                                                                                               ,333.35
Policía Local                           ,1321,22706,2018-09-27,HUARTE GRAFICA S.A.L.                                                                     ,,,8500 FOLLETOS PROGRAMACION SEPTIEMBRE                                                                                                                                               ,333.36
Promoción de la igualdad efectiva entre ,2391,22706,2018-09-27,HUARTE GRAFICA S.A.L.                                                                     ,,,120 CARTELES Y 8700 A5 ESCUELA IGUALDAD+130 CARTELES EUSKARAREN ASTEA                                                                                                               ,508.2
Promoción y fomento del deporte.        ,3410,22740,2018-09-27,HUARTE GRAFICA S.A.L.                                                                     ,,,8500 FOLLETOS PROGRAMACION SEPTIEMBRE                                                                                                                                               ,666.71
Otros servicios de bienestar comunitario,1690,21900,2018-09-27,IBERDROLA DISTRIBUCION ELECTRICA S.A.U.                                                   ,,,PUNTO DE RECARGA DE VEHICULOS ELECTRICOS EGUES                                                                                                                                      ,388.68
Otros servicios de bienestar comunitario,1690,21900,2018-09-27,IBERDROLA DISTRIBUCION ELECTRICA S.A.U.                                                   ,,,PUNTO DE RECARGA VEHICULOS ELECTRICOS BADOSTAIN                                                                                                                                     ,388.68
Fiestas populares y festejos.           ,3380,22620,2018-09-27,IMAGINASCENE EVENTOS Y COMUNICACION S.L                                                   ,,,CONCIERTO LA TRIBU+SONORIZACION COMBOS+EQUIPOS SONIDO+DJ ANIMADOR INFANTIL+DJ NOCHE                                                                                                 ,5989.5
Parques y jardines                      ,1710,21900,2018-09-27,IRAOLA-ARTETA S.L.                                                                        ,,,LIMPIEZA FOSA SEPTICA HUERTAS 24/08                                                                                                                                                 ,215
ACCESO A LOS NUCLEOS DE POBLACION       ,1531,21000,2018-09-27,IRIBARREN                                                                                 ,CIGANDA                                 ,GORKA                         ,91 HORAS EXCAVADORA EN EGUES LIMPIANDO CUNETAS+PONER TUBERÍA+ARREGLAR CAMINOS                                                                                                       ,3523.52
Funcionamiento de centros docentes de en,3232,21200,2018-09-27,IRIGUIBEL DISTRIBUCIONES S.L.                                                             ,,,75 PAQ BOLSAS+2 RECAMBIO MOPA+4 ESCOBAS+4 FREGONAS+3 CUBOS+6 MANGOS CP URIZ PI                                                                                                      ,219.16
Limpieza viaria.                        ,1630,22199,2018-09-27,IRIGUIBEL DISTRIBUCIONES S.L.                                                             ,,,90 PAQ BOLSAS BASURA PARA LIMPIEZA VIARIA                                                                                                                                           ,295.18
Administración General.                 ,9200,21200,2018-09-27,ISAI                                                                                      ,,,REPUESTO CABLE PUERTAS SSB                                                                                                                                                          ,40.17
Empleo social protegido                 ,2412,22104,2018-09-27,"JUPER IRU, S.L.                                                                           ",,,2 POLOS ESP                                                                                                                                                                         ,30.73
Empleo social protegido                 ,2412,22104,2018-09-27,"JUPER IRU, S.L.                                                                           ",,,2 PANTALON+4 POLOS+1 FORRO ESP                                                                                                                                                      ,107.04
Policía Local                           ,1321,22706,2018-09-27,LASPIDEA                                                                                  ,ARNEDO                                  ,RICARDO                       ,DISEÑO PORTADA Y MUPI PROGRAMACIÓN SEPTIEMBRE                                                                                                                                       ,68.07
Euskera                                 ,3350,22799,2018-09-27,LASPIDEA                                                                                  ,ARNEDO                                  ,RICARDO                       ,DISEÑO PORTADA Y MUPI PROGRAMACIÓN SEPTIEMBRE                                                                                                                                       ,68.07
Promoción y fomento del deporte.        ,3410,22740,2018-09-27,LASPIDEA                                                                                  ,ARNEDO                                  ,RICARDO                       ,DISEÑO PORTADA Y MUPI PROGRAMACIÓN SEPTIEMBRE                                                                                                                                       ,136.11
Fiestas populares y festejos.           ,3370,22620,2018-09-27,LIMUTAXI S.L.                                                                             ,,,BUS VOY Y VENGO FIESTAS DE GORRAIZ                                                                                                                                                  ,231
Fiestas populares y festejos.           ,3380,22620,2018-09-27,"MALKAITZ JOALDUN TALDEA, ASOCIACION SOCI                                                  ",OCULTURAL Y RECREATIVA                  ,,ACTUACION FIESTAS DE GORRAIZ                                                                                                                                                        ,466
Administración General.                 ,9200,62500,2018-09-27,MANUFACTURAS DE LA MADERA ARANAZ S.L                                                      ,,,16 MESAS EVENTOS                                                                                                                                                                    ,1935.03
Escuelas de música                      ,3261,62900,2018-09-27,MEDIA MARKT CORDOVILLA-PAMPLONA VIDEO-TV                                                  ,"HIFI-COPUTER, SA                        ",,2 MICRO-CADENA  MUSICAL PARA ESCUELA DE MUSICA                                                                                                                                      ,708
Otros servicios de bienestar comunitario,1690,21900,2018-09-27,METALICAS IZAGAONDOA SL                                                                   ,,,ARREGLO MAQUINA DE STEP (SOLDADURA Y PINTURA) PARQUE OLAZ                                                                                                                           ,786.5
Fiestas populares y festejos.           ,3380,22620,2018-09-27,NAVAR PRODUCCIONES                                                                        ,,,ACTIVIDADES JUVENILES FIESTAS GORRAIZ                                                                                                                                               ,1240.25
Fiestas populares y festejos.           ,3380,22620,2018-09-27,NAVAR PRODUCCIONES                                                                        ,,,PARQUE INFANTIL GORRAIZ                                                                                                                                                             ,3872
Otros servicios de bienestar comunitario,1690,21300,2018-09-27,"REGENAUTO, S.A.                                                                           ",,,LAMPARA VEHICULO SSB+FILTRO AIRE Y ACEITE L200 JARDINES                                                                                                                             ,9
Parques y jardines                      ,1710,21400,2018-09-27,"REGENAUTO, S.A.                                                                           ",,,LAMPARA VEHICULO SSB+FILTRO AIRE Y ACEITE L200 JARDINES                                                                                                                             ,34.38
Administración General.                 ,9200,22000,2018-09-27,RICOH ESPAÑA SLU                                                                          ,,,2 COPIAS  COLOR+11.822 B/N PLANTA 2 (ANTES PM)-12.692 COPIAS PASILLO ALCALDIA 01/06-31/08 (FINAL 58287-38538-104788)                                                                ,242.87
Parques y jardines                      ,1710,21000,2018-09-27,ROTULOS LAVIN                                                                             ,,,"IMPRESION VINILO CARTEL ""SUBVENCIONADO"" INFRAESTRCUTURAS GANADERAS                                                                                                                  ",21.78
Administración General.                 ,9200,21200,2018-09-27,SALTOKI SUMINISTROS ELECTRICOS SL                                                         ,,,CUADRO ELECTRICO PARA CARPAS                                                                                                                                                        ,751.56
Parques y jardines                      ,1710,21400,2018-09-27,SEAL SL                                                                                   ,,,REPARACION 2 CORTACESPED Y TRACTOR                                                                                                                                                  ,248.61
Administración General.                 ,9200,21200,2018-09-27,SEGURIDAD SISTEMAS NAVARRA S.A.                                                           ,,,RECABLEAR ALTAVOZ DERECHO SISTEMA AUDIOVISUAL SALA PLENOS 03/07                                                                                                                     ,130.68
Administración General.                 ,9200,21200,2018-09-27,SEGURIDAD SISTEMAS NAVARRA S.A.                                                           ,,,SOLDAR CONEXION SISTEMA AUDIOVISUAL SALA PLENOS 28/06                                                                                                                               ,185.13
Parques y jardines                      ,1710,22101,2018-09-27,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,CANON SANEAMIENTO FUENTE SALA ERRIZAR                                                                                                                                               ,6.44
Parques y jardines                      ,1710,21900,2018-09-27,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,CUOTA RECEPCION LODOS LIMPIEZA FOSA SEPTICA HUERTAS                                                                                                                                 ,46.75
Parques y jardines                      ,1710,22101,2018-09-27,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,CUOTA CONTRATACION SERVICIOS FUENTE SALA ERRIZAR                                                                                                                                    ,165.53
Parques y jardines                      ,1710,22101,2018-09-27,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,DERECHOS ACOMETIDA FUENTE SALA ERRIZAR                                                                                                                                              ,174.07
Administración General.                 ,9200,21200,2018-09-27,"SERVICIOS NAVARRA DE MANTENIMIENTO, S.L                                                   ",(SERNAMAN)                              ,,SUSTITUCION BASE AIRE ACONDICIONADO AYTO                                                                                                                                            ,236.45
Administración General.                 ,9200,21200,2018-09-27,"SERVICIOS NAVARRA DE MANTENIMIENTO, S.L                                                   ",(SERNAMAN)                              ,,SUSTITUCION ELEMENTOS EN MAQ. ENFRIADORA EN SALA SERVIDORES AYTO                                                                                                                    ,332.29
Administración General.                 ,9200,22201,2018-09-27,SOCIEDAD ESTATAL DE CORREOS Y TELEGRAFOS SA                                               ,,,SERVICIO CORREOS AGOSTO (INCLUYE VIALINE)                                                                                                                                           ,4824.44
Promoción de la igualdad efectiva entre ,2391,22799,2018-09-27,SYS AGROSAL                                                                               ,,,2 CENTROS FLORES VICTIMAS VIOLENCIA GENERO AYTO                                                                                                                                     ,99.99
Limpieza viaria.                        ,1630,21300,2018-09-27,TALLERES COBOS AUTOMOCION S.L.                                                            ,,,2 FILTROS AIRE BARREDORA                                                                                                                                                            ,152.16
Transporte público.                     ,4411,22730,2018-09-27,TELETAXI SAN FERMIN                                                                       ,,,SERVICIO TAXI BADOSTAIN AGOSTO                                                                                                                                                      ,386.99
Servicio Social de Base                 ,2311,22105,2018-09-27,"TRANSPORTES LIZARRALDEA, S.L.                                                             ",,,TRANSPORTE BANCO DE ALIMENTOS AGOSTO                                                                                                                                                ,145.2
Otros servicios de bienestar comunitario,1690,21300,2018-09-27,TREVIC LUBRICANTS                                                                         ,,,208 LT ACEITE PARA VEHICULOS                                                                                                                                                        ,442.88
Empleo social protegido                 ,2412,22199,2018-09-27,UNZUE E HIJOS S.L.                                                                        ,,,GAFAS DE PROTECCION ESP                                                                                                                                                             ,15.31
Parques y jardines                      ,1710,21400,2018-09-27,UNZUE E HIJOS S.L.                                                                        ,,,ESLABONES+ESPADA+3 HILO CORTE+ACEITE MAQUINARIA+3 BOBINAS                                                                                                                           ,375.82
Parques y jardines                      ,1710,21400,2018-09-27,UNZUE E HIJOS S.L.                                                                        ,,,AFILAR 2 CORTASETOS+ARREGLO 2 DEBROZADORA+4 BOBINA+9 HILO CORTE                                                                                                                     ,624.92
Parques y jardines                      ,1710,22799,2018-09-27,URBASER SA                                                                                ,,,LABORES DE MANTENIMIENTO DE ZONAS VERDES MES AGOSTO                                                                                                                                 ,14014.75
Parques y jardines                      ,1710,21000,2018-09-27,VALENZUELA HNOS.                                                                          ,,,2 SOLENOIDE+12 CONEXION ESTANCA+25 ENLACE+1 ASPERSOR+1 TRANSFORMADOR                                                                                                                ,281.62
Gestión del sistema tributario.         ,9320,22708,2018-09-27,VIALINE GESTION SL                                                                        ,,,GESTION TRIBUTOS EJECUTIVA JULIO                                                                                                                                                    ,4439.74
Gestión del sistema tributario.         ,9320,22708,2018-09-27,VIALINE GESTION SL                                                                        ,,,SERVICIO SANCIONES EJECUTIVA JULIO                                                                                                                                                  ,7686.92
Fiestas populares y festejos.           ,3380,22620,2018-09-27,VINILO Y TRABAJOS EN ROTULACION S.L.                                                      ,,,3 CARTELES PARA TRENECITO FIESTAS GORRAIZ                                                                                                                                           ,190.58
Parques y jardines                      ,1710,22199,2018-09-27,VIZCAY HNOS. S.A.                                                                         ,,,9 TUBOS SANEAMIENTO CAMINOS+75 ESTACAS MADERA VUELTA+20X35 KG CEMENTO+300 KG ARENA MES AGOSTO                                                                                       ,11.49
Promoción y fomento del deporte.        ,3410,22740,2018-09-27,VIZCAY HNOS. S.A.                                                                         ,,,9 TUBOS SANEAMIENTO CAMINOS+75 ESTACAS MADERA VUELTA+20X35 KG CEMENTO+300 KG ARENA MES AGOSTO                                                                                       ,61.25
Conservación y mantenimiento de la via p,1533,21000,2018-09-27,VIZCAY HNOS. S.A.                                                                         ,,,9 TUBOS SANEAMIENTO CAMINOS+75 ESTACAS MADERA VUELTA+20X35 KG CEMENTO+300 KG ARENA MES AGOSTO                                                                                       ,73.81
Administración General.                 ,9200,21200,2018-09-27,VIZCAY HNOS. S.A.                                                                         ,,,CEMENTO+TUBOS  OBRA CARGADORES VEHICULOS ELECTRICOS                                                                                                                                 ,81.68
ACCESO A LOS NUCLEOS DE POBLACION       ,1531,21000,2018-09-27,VIZCAY HNOS. S.A.                                                                         ,,,9 TUBOS SANEAMIENTO CAMINOS+75 ESTACAS MADERA VUELTA+20X35 KG CEMENTO+300 KG ARENA MES AGOSTO                                                                                       ,931.97
Fiestas populares y festejos.           ,3380,22620,2018-09-27,XIAOXI YE ZHIJIAN XIA                                                                     ,,,50 PELOTAS+30 BOLSAS GLOBOS TXUPINAZO GORRAIZ                                                                                                                                       ,121
Servicio Social de Base                 ,2311,22105,2018-09-27,"ZUAZU 2001, S.L.                                                                          ",(CARNICERIAS ZUAZU)                     ,,155 KG POLLO CESTA BASICA                                                                                                                                                           ,355.81
Consultorios y centros de salud         ,3121,22101,2018-10-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA AGOSTO                                                                                                                                                                   ,69.34
Desarrollo empresarial.                 ,4330,22101,2018-10-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA AGOSTO                                                                                                                                                                   ,73.35
Parques y jardines                      ,1710,22101,2018-10-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA AGOSTO                                                                                                                                                                   ,154.59
Otros servicios comunitarios y sociales ,2399,22101,2018-10-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA AGOSTO                                                                                                                                                                   ,158.61
Administración General.                 ,9200,22101,2018-10-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA AGOSTO                                                                                                                                                                   ,165.21
Bibliotecas públicas.                   ,3321,22101,2018-10-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA AGOSTO                                                                                                                                                                   ,239.29
Parques y jardines                      ,1710,22101,2018-10-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA AGOSTO                                                                                                                                                                   ,353.63
Escuelas de música                      ,3261,22101,2018-10-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA AGOSTO                                                                                                                                                                   ,428.13
Escuelas infantiles                     ,3231,22101,2018-10-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA AGOSTO                                                                                                                                                                   ,558.49
Otros servicios de bienestar comunitario,1690,22101,2018-10-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA AGOSTO                                                                                                                                                                   ,582.8
Funcionamiento de centros docentes de en,3232,22101,2018-10-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA AGOSTO                                                                                                                                                                   ,775.65
Promoción y fomento del deporte.        ,3410,22101,2018-10-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA AGOSTO                                                                                                                                                                   ,836.76
Administración General.                 ,9200,22101,2018-10-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA AGOSTO                                                                                                                                                                   ,1077.81
Parques y jardines                      ,1710,22101,2018-10-01,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,GASTO AGUA AGOSTO                                                                                                                                                                   ,17154.76
Promoción cultural                      ,3340,22200,2018-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,12.08
Parques y jardines                      ,1710,22200,2018-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,49.69
Otros servicios de bienestar comunitario,1690,22200,2018-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,53.59
Desarrollo empresarial.                 ,4330,22200,2018-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,68.17
Servicio Social de Base                 ,2311,22200,2018-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,112.53
Promoción y fomento del deporte.        ,3410,22200,2018-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,130.17
Consultorios y centros de salud         ,3121,22200,2018-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,166.79
Policía Local                           ,1321,22200,2018-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,195.04
Escuelas de música                      ,3261,22200,2018-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,200.63
Otros servicios comunitarios y sociales ,2399,22200,2018-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,207.59
Administración General.                 ,9200,22200,2018-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,289.97
Bibliotecas públicas.                   ,3321,22200,2018-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,310.8
Funcionamiento de centros docentes de en,3232,22200,2018-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,311.6
Funcionamiento de centros docentes de en,3232,22200,2018-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO OCTUBRE                                                                                                                                                         ,353.93
Escuelas infantiles                     ,3231,22200,2018-10-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO SEPTIEMBRE                                                                                                                                                      ,355.24
Administración General.                 ,9200,23120,2018-10-03,AYUNTAMIENTO DE PAMPLONA                                                                  ,,,3 TICKETS ZONA ESTACIONAMIENTO LIMITADO POR ASISTENCIA A CURSO CONTRATACIÓN PÚBLICA (PAGADO A INTERVENTORA)                                                                         ,7.2
Parques y jardines                      ,1710,60900,2018-10-03,BARBERENA ERRO JAIME Y LERINDEGUI                                                         ,IRIARTE RAQUEL                          ,(ZAKARLOA S.L)                ,MEJORAS GANADERAS 2018                                                                                                                                                              ,33931.67
Parques y jardines                      ,1710,60900,2018-10-03,FORESNA-ZURGAIA                                                                           ,,,DIRECCION DE OBRA AYUDAS GANADERAS                                                                                                                                                  ,1888.99
Otros servicios de bienestar comunitario,1690,22103,2018-10-03,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ                                                  ,VILLA                                   ,,3 TICKETS COMBUSTIBLE SM SEPTIEMBRE                                                                                                                                                 ,137.56
Parques y jardines                      ,1710,22103,2018-10-03,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ                                                  ,VILLA                                   ,,13 TICKETS COMBUSTIBLE SEPTIEMBRE JARDINES                                                                                                                                          ,692.99
Policía Local                           ,1321,22103,2018-10-03,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ                                                  ,VILLA                                   ,,17 TICKETS COMBUSTIBLE PM MES SEPTIEMBRE                                                                                                                                            ,719.12
Funcionamiento de centros docentes de en,3232,22104,2018-10-04,ATOAN BANATZAILEAK SL                                                                     ,,,PORTES URGENTES ROPA SUSTITUTA A.ZUDAIRE (CONSERJE) EN CP SARRIGUREN                                                                                                                ,15.4
Empleo social protegido                 ,2419,22706,2018-10-04,REMIREZ                                                                                   ,ALCALDE                                 ,IDOIA                         ,PAN+VASOS PLASTICO+CAJAS+REFRESCOS+PIRULETAS JORNADAS PATRIMONIO                                                                                                                    ,174.93
Administración General.                 ,9200,63200,2018-10-05,ERREKA PUERTAS AUTOMATICAS                                                                ,,,COMPENSACION CON SANCION 2 PUERTAS AUTOMATICAS LUDOTECA-BIBLIOTECA+PUERTA AUTOMATICA SSB                                                                                            ,1520
Administración General.                 ,9200,63200,2018-10-05,ERREKA PUERTAS AUTOMATICAS                                                                ,,,2 PUERTAS AUTOMATICAS LUDOTECA-BIBLIOTECA+PUERTA AUTOMATICA SSB                                                                                                                     ,9056.61
Bibliotecas públicas.                   ,3321,63200,2018-10-05,ERREKA PUERTAS AUTOMATICAS                                                                ,,,2 PUERTAS AUTOMATICAS LUDOTECA-BIBLIOTECA+PUERTA AUTOMATICA SSB                                                                                                                     ,10785.94
Otros servicios de bienestar comunitario,1690,22100,2018-10-05,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ SEPTIEMBRE                                                                                                                                                                ,54.91
Escuelas de música                      ,3261,22100,2018-10-05,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ SEPTIEMBRE                                                                                                                                                                ,246.73
Consultorios y centros de salud         ,3121,22100,2018-10-05,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ SEPTIEMBRE                                                                                                                                                                ,341.65
Bibliotecas públicas.                   ,3321,22100,2018-10-05,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ SEPTIEMBRE                                                                                                                                                                ,515.08
Otros servicios comunitarios y sociales ,2399,22100,2018-10-05,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ SEPTIEMBRE                                                                                                                                                                ,632.44
Escuelas infantiles                     ,3231,22100,2018-10-05,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ SEPTIEMBRE                                                                                                                                                                ,770.43
Funcionamiento de centros docentes de en,3232,22100,2018-10-05,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ SEPTIEMBRE                                                                                                                                                                ,1429.95
Parques y jardines                      ,1710,22100,2018-10-05,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ SEPTIEMBRE                                                                                                                                                                ,1638.2
Promoción y fomento del deporte.        ,3410,22100,2018-10-05,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ SEPTIEMBRE                                                                                                                                                                ,1733.96
Administración General.                 ,9200,22100,2018-10-05,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ SEPTIEMBRE                                                                                                                                                                ,5597.1
Alumbrado público.                      ,1650,22100,2018-10-05,IBERDROLA CLIENTES S.A.U.                                                                 ,,,GASTO LUZ SEPTIEMBRE                                                                                                                                                                ,6900.06
Administración General.                 ,9200,22100,2018-10-05,IBERDROLA COMERCIALIZADORA ULTIMO                                                         ,RECURSO SAU                             ,,,33.61
Parques y jardines                      ,1710,22100,2018-10-05,IBERDROLA COMERCIALIZADORA ULTIMO                                                         ,RECURSO SAU                             ,,,84.08
Alumbrado público.                      ,1650,22100,2018-10-05,IBERDROLA COMERCIALIZADORA ULTIMO                                                         ,RECURSO SAU                             ,,,3336.63
Administración General.                 ,9200,23120,2018-10-08,APARCAMIENTO SAN ROQUE SL                                                                 ,,,TICKET PARKING PABLO GIL JUZGADO                                                                                                                                                    ,1.29
Administración General.                 ,9200,22770,2018-10-08,ASESORIA LABORAL RUIZ-PIQUER SL                                                           ,,,IMPORTE MENSUAL ASESORIA SEPTIEMBRE                                                                                                                                                 ,1201.53
Administración General.                 ,9200,22000,2018-10-08,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,10 CARTUCHOS TINTA AYTO                                                                                                                                                             ,165.35
Administración General.                 ,9200,22000,2018-10-08,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,14 CARTUCHOS IMPRESORAS AYTO                                                                                                                                                        ,236.39
Fiestas populares y festejos.           ,3380,22199,2018-10-08,ASOCIACION DE GESTION DE DERECHOS                                                         ,INTELECTUALES                           ,,DERECHOS PROTECCION INTELECTUAL FIESTAS IBIRICU                                                                                                                                     ,5.63
Fiestas populares y festejos.           ,3380,22199,2018-10-08,ASOCIACION DE GESTION DE DERECHOS                                                         ,INTELECTUALES                           ,,DERECHOS PROTECCION INTELECTUAL FIESTAS IBIRICU                                                                                                                                     ,5.63
